,Paragraph
166,"Die Grundsätze der Modalität sind aber nicht objektiv synthetisch,
weil die Prädikate der Möglichkeit, Wirklichkeit und Notwendigkeit
den Begriff, von dem sie gesagt werden, nicht im mindesten vermehren,
dadurch daß sie der Vorstellung des Gegenstandes noch etwas
hinzusetzten. Da sie aber gleichwohl doch immer synthetisch sind,
so sind sie es nur subjektiv, d.i.# sie fügen zu dem Begriffe eines
Dinges, (Realen,) von dem sie sonst nichts sagen, die Erkenntniskraft
hinzu, worin er entspringt und seinen Sitz hat, so, daß, wenn er bloß
im Verstande mit den formalen Bedingungen der Erfahrung in Verknüpfung
ist, sein Gegenstand möglich heißt; ist er mit der Wahrnehmung
(Empfindung, als Materie der Sinne) im Zusammenhange, und durch
dieselben vermittelst des Verstandes bestimmt, so ist das Objekt
wirklich; ist er durch den Zusammenhang der Wahrnehmungen nach
Begriffen bestimmt, so heißt der Gegenstand notwendig. Die Grundsätze
der Modalität also sagen von einem Begriffe nichts anderes, als die
Handlung des Erkenntnisvermögens, dadurch er erzeugt wird. Nun heißt
ein Postulat in der Mathematik der praktische Satz, der nichts als die
Synthesis enthält, wodurch wir einen Gegenstand uns zuerst geben, und
dessen Begriff erzeugen, z.B. mit einer gegebenen Linie, aus einem
gegebenen Punkt auf einer Ebene einen Zirkel zu beschreiben, und ein
dergleichen Satz kann darum nicht bewiesen werden, weil das Verfahren,
was er fordert, gerade das ist, wodurch wir den Begriff von einer
solchen Figur zuerst erzeugen. So können wir demnach mit ebendemselben
Rechte die Grundsätze der Modalität postulieren, weil sie ihren
Begriff von Dingen überhaupt nicht vermehren*, sondern nur die Art
anzeigen, wie er überhaupt mit der Erkenntniskraft verbunden wird."
167,"* Durch die Wirklichkeit eines Dinges, setze ich freilich mehr, als
  die Möglichkeit, aber nicht in dem Dinge; denn das kann niemals
  mehr in der Wirklichkeit enthalten, als was in dessen vollständiger
  Möglichkeit enthalten war. Sondern da die Möglichkeit bloß
  eine Position des Dinges in Beziehung auf den Verstand (dessen
  empirischen Gebrauch) war, so ist die Wirklichkeit zugleich eine
  Verknüpfung desselben mit der Wahrnehmung."
168,
169,Allgemeine Anmerkung zum System der Grundsätze.
170,"Es ist etwas sehr Bemerkungswürdiges, daß wir die Möglichkeit keines
Dinges nach der bloßen Kategorie einsehen können, sondern immer eine
Anschauung bei der Hand haben müssen, um an derselben die objektive
Realität des reinen Verstandesbegriffs darzulegen. Man nehme z.B. die
Kategorien der Relation. Wie l) etwas nur als Subjekt, nicht als bloße
Bestimmung anderer Dinge existieren, d.i.# Substanz sein könne, oder
wie 2) darum, weil etwas ist, etwas anderes sein müsse, mithin wie,
etwas überhaupt Ursache sein könne, oder 3) wie, wenn mehrere Dinge da
sind, daraus, daß eines derselben da ist, etwas auf die übrigen und
so wechselseitig folge, und auf diese Art eine Gemeinschaft von
Substanzen statthaben könne, läßt sich gar nicht aus bloßen Begriffen
einsehen. Eben dieses gilt auch von den übrigen Kategorien, z.B. wie
ein Ding mit vielen zusammen einerlei, d.i.# eine Größe sein könne usw.
Solange es also an Anschauung fehlt, weiß man nicht, ob man durch die
Kategorien ein Objekt denkt, und ob ihnen auch überall gar irgend
ein Objekt zukommen könne, und so bestätigt sich, daß sie für sich
gar keine Erkenntnisse, sondern bloße Gedankenformen sind, um aus
gegebenen Anschauungen Erkenntnisse zu machen. - Eben daher kommt es
auch, daß aus bloßen Kategorien kein synthetischer Satz gemacht werden
kann. Z.B. in allem Dasein ist Substanz, d.i.# etwas, was nur als
Subjekt und nicht als bloßes Prädikat existieren kann; oder, ein jedes
Ding ist ein Quantum usw., wo gar nichts ist, was uns dienen könnte,
über einen gegebenen Begriff hinauszugehen und einen anderen damit
zu verknüpfen. Daher es auch niemals gelungen ist, aus bloßen reinen
Verstandesbegriffen einen synthetischen Satz zu beweisen, z.B. den
Satz: alles zufällig Existierende hat eine Ursache. Man konnte niemals
weiter kommen, als zu beweisen, daß, ohne diese Beziehung, wir die
Existenz des Zufälligen gar nicht begreifen, d.i.# a priori durch den
Verstand die Existenz eines solchen Dinges nicht erkennen könnten;
woraus aber nicht folgt, daß eben dieselbe auch die Bedingung der
Möglichkeit der Sachen selbst sei. Wenn man daher nach unserem Beweise
des Grundsatzes der Kausalität zurück sehen will, so wird man gewahr
werden, daß wir denselben nur von Objekten möglicher Erfahrung
beweisen konnten: alles was geschieht (eine jede Begebenheit) setzt
eine Ursache voraus, und zwar so, daß wir ihn auch nur als Prinzip
der Möglichkeit der Erfahrung, mithin der Erkenntnis eines in der
empirischen Anschauung gegebenen Objekts, und nicht aus bloßen
Begriffen beweisen konnten. Daß gleichwohl der Satz: alles Zufällige
müsse eine Ursache haben, doch jedermann aus bloßen Begriffen klar
einleuchte, ist nicht zu leugnen; aber alsdann ist der Begriff des
Zufälligen schon so gefaßt, daß er nicht die Kategorie der Modalität
(als etwas, dessen Nichtsein sich denken läßt), sondern die der
Relation (als etwas, das nur als Folge von einem anderen existieren
kann) enthält, und da ist es freilich ein identischer Satz: was nur
als Folge existieren kann, hat seine Ursache. In der Tat, wenn wir
Beispiele vom zufälligen Dasein geben sollen, berufen wir uns immer
auf Veränderungen und nicht bloß auf die Möglichkeit des Gedankens vom
Gegenteil*. Veränderung aber ist Begebenheit, die, als solche, nur
durch eine Ursache möglich, deren Nichtsein also für sich möglich ist,
und so erkennt man die Zufälligkeit daraus, daß etwas nur als Wirkung
einer Ursache existieren kann; wird daher ein Ding als zufällig
angenommen, so ist's ein analytischer Satz, zu sagen, es habe eine
Ursache."
171,"* Man kann sich das Nichtsein der Materie leicht denken, aber die
  Alten folgerten daraus doch nicht ihre Zufälligkeit. Allein selbst
  der Wechsel des Seins und Nichtseins eines gegebenen Zustandes
  eines Dinges, darin alle Veränderung besteht, beweist gar nicht die
  Zufälligkeit dieses Zustandes, gleichsam aus der Wirklichkeit seines
  Gegenteils, z.B. die Ruhe eines Körpers, welche auf die Bewegung
  folgt, noch nicht die Zufälligkeit der Bewegung desselben, daraus,
  weil die erstere das Gegenteil der letzteren ist. Denn dieses
  Gegenteil ist hier nur logisch, nicht realiter dem anderen
  entgegengesetzt. Man müßte beweisen, daß, anstatt der Bewegung im
  vorhergehenden Zeitpunkte, es möglich gewesen, daß der Körper damals
  geruht hatte, um die Zufälligkeit seiner Bewegung zu beweisen,
  nicht daß er hernach ruhe; denn da können beide Gegenteile gar wohl
  miteinander bestehen."
172,"Noch merkwürdiger aber ist, daß wir, um die Möglichkeit der Dinge,
zufolge der Kategorien, zu verstehen, und also die objektive Realität
der letzteren darzutun, nicht bloß Anschauungen, sondern sogar immer
äußere Anschauungen bedürfen. Wenn wir z.B. die reinen Begriffe der
Relation nehmen, so finden wir, daß l) um dem Begriffe der Substanz
korrespondierend etwas Beharrliches in der Anschauung zu geben, (und
dadurch die objektive Realität dieses Begriffs darzutun) wir eine
Anschauung im Raume (der Materie) bedürfen, weil der Raum allem
beharrlich bestimmt, die Zeit aber, mithin alles, was im inneren
Sinne ist, beständig fließt. Um Veränderung, als die dem Begriffe der
Kausalität korrespondierende Anschauung, darzustellen, müssen wir
Bewegung, als Veränderung im Raume, zum Beispiele nehmen, ja sogar
dadurch allein können wir uns Veränderungen, deren Möglichkeit kein
reiner Verstand begreifen kann, anschaulich machen. Veränderung ist
Verbindung kontradiktorisch einander entgegengesetzter Bestimmungen
im Dasein eines und desselben Dinges. Wie es nun möglich sei, daß
aus einem gegebenen Zustande, ein ihm entgegengesetzter desselben
Dinges folge, kann nicht allein keine Vernunft sich ohne Beispiel
begreiflich, sondern nicht einmal ohne Anschauung verständlich
machen, und diese Anschauung ist die der Bewegung eines Punktes
im Raume, dessen Dasein in verschiedenen Ortern (als eine Folge
entgegengesetzter Bestimmungen) zuerst uns allein Veränderung
anschaulich macht; denn, um uns nachher selbst innere Veränderungen
denkbar zu machen, müssen wir die Zeit, als die Form des inneren
Sinnes, figürlich durch eine Linie, und die innere Veränderung durch
das Ziehen dieses Linie (Bewegung), mithin die sukzessive Existenz
unser selbst in verschiedenem Zustande durch äußere Anschauung uns
faßlich machen, wovon der eigentliche Grund dieser ist, daß alle
Veränderung etwas Beharrliches in der Anschauung voraussetzt, um auch
selbst nur als Veränderung wahrgenommen zu werden, im inneren Sinne
aber gar keine beharrliche Anschauung angetroffen wird. - Endlich ist
die Kategorie der Gemeinschaft, ihrer Möglichkeit nach, gar nicht
durch die bloße Vernunft zu begreifen, und also die objektive Realität
dieses Begriffs ohne Anschauung, und zwar äußere im Raum, nicht
einzusehen möglich. Denn wie will man sich die Möglichkeit denken,
daß, wenn mehrere Substanzen existieren, aus der Existenz der einen
auf die Existenz der anderen wechselseitig etwas (als Wirkung) folgen
könne, und also, weil in der ersteren etwas ist, darum auch in den
anderen etwas sein müsse, was aus der Existenz der letzteren allein
nicht verstanden werden kann? Denn dieses wird zur Gemeinschaft
erfordert, ist aber unter Dingen, die sich ein jedes durch seine
Subsistenz völlig isolieren, gar nicht begreiflich. Daher Leibniz,
indem er den Substanzen der Welt, nur, wie sie der Verstand allein
denkt, eine Gemeinschaft beilegte, eine Gottheit zur Vermittlung
brauchte; denn aus ihrem Dasein allein schien sie ihm mit Recht
unbegreiflich. Wir können aber die Möglichkeit der Gemeinschaft (der
Substanzen als Erscheinungen) uns gar wohl faßlich machen, wenn wir
sie uns im Raume, also in der äußeren Anschauung vorstellen. Denn
dieser enthält schon a priori formale äußere Verhältnisse als
Bedingungen der Möglichkeit der realen (in Wirkung und Gegenwirkung,
mithin der Gemeinschaft) in sich. - Ebenso kann leicht dargetan
werden, daß die Möglichkeit der Dinge als Größen, und also die
objektive Realität der Kategorie der Größe, auch nur in der äußeren
Anschauung könne dargelegt, und vermittelst ihrer allein hernach
auch auf den inneren Sinn angewandt werden. Allein ich muß, um
Weitläufigkeit zu vermeiden, die Beispiele davon dem Nachdenken dem
Lesers überlassen."
173,"Diese ganze Bemerkung ist von großer Wichtigkeit, nicht allein um
unsere vorhergehende Widerlegung des Idealismus zu bestätigen, sondern
vielmehr noch, um, wenn vom Selbsterkenntnisse aus dem bloßen inneren
Bewußtsein und der Bestimmung unserer Natur ohne Beihilfe äußerer
empirischer Anschauungen die Rede sein wird, uns die Schranken der
Möglichkeit einer solchen Erkenntnis anzuzeigen."
174,"Die letzte Folgerung aus diesem ganzen Abschnitte ist also: alle
Grundsätze des reinen Verstandes sind nichts weiter als Prinzipien
a priori der Möglichkeit der Erfahrung, und auf die letztere allein
beziehen sich auch alle synthetischen Sätze a priori, ja ihre
Möglichkeit beruht selbst gänzlich auf dieser Beziehung."
175,"Von dem Grunde der Unterscheidung aller Gegenstände überhaupt in
Phaenomena und Noumena."
176,"Wir haben jetzt das Land des reinen Verstandes nicht allein
durchreist, und jeden Teil davon sorgfältig in Augenschein genommen,
sondern es auch durchmessen, und jedem Dinge auf demselben seine
Stelle bestimmt. Dieses Land aber ist eine Insel, und durch die Natur
selbst in unveränderliche Grenzen eingeschlossen. Es ist das Land
der Wahrheit (ein reizender Name), umgeben von einem weiten und
stürmischen Ozeane, dem eigentlichen Sitze des Scheins, wo manche
Nebelbank, und manches bald wegschmelzende Eis neue Länder lügt, und
indem es den auf Entdeckungen herumschwärmenden Seefahrer unaufhörlich
mit leeren Hoffnungen täuscht, ihn in Abenteuer verflechtet, von denen
er niemals ablassen und sie doch auch niemals zu Ende bringen kann.
Ehe wir uns aber auf dieses Meer wagen, um es nach allen Breiten zu
durchsuchen, und gewiß zu werden, ob etwas in ihnen zu hoffen sei, so
wird es nützlich sein, zuvor noch einen Blick auf die Karte des Landes
zu werfen, das wir eben verlassen wollen, und erstlich zu fragen, ob
wir mit dem, was es in sich enthält, nicht allenfalls zufrieden sein
könnten, oder auch aus Not zufrieden sein müssen, wenn es sonst
überall keinen Boden gibt, auf dem wir uns anbauen könnten; zweitens,
unter welchem Titel wir denn selbst dieses Land besitzen, und uns
wider alle feindseligen Ansprüche gesichert halten können. Obschon wir
diese Fragen in dem Lauf der Analytik schon hinreichend beantwortet
haben, so kann doch ein summarischer Überschlag ihrer Auflösungen die
Überzeugung dadurch verstärken, daß er die Momente derselben in einem
Punkt vereinigt."
177,"Wir haben nämlich gesehen: daß alles, was der Verstand aus sich selbst
schöpft, ohne es von der Erfahrung zu borgen, das habe er dennoch
zu keinem anderen Behuf, als lediglich zum Erfahrungsgebrauch. Die
Grundsätze des reinen Verstandes, sie mögen nun a priori konstitutiv
sein (wie die mathematischen), oder bloß regulativ (wie die
dynamischen), enthalten nichts als gleichsam nur das reine Schema
zur möglichen Erfahrung; denn diese hat ihre Einheit nur von der
synthetischen Einheit, welche der Verstand der Synthesis der
Einbildungskraft in Beziehung auf die Apperzeption ursprünglich
und von selbst erteilt, und auf welche die Erscheinungen, als data
zu einem möglichen Erkenntnisse, schon a priori in Beziehung und
Einstimmung stehen müssen. Ob nun aber gleich diese Verstandesregeln
nicht allein a priori wahr sind, sondern sogar der Quell aller
Wahrheit, d.i.# der Übereinstimmung unserer Erkenntnis mit Objekten,
dadurch, daß sie den Grund der Möglichkeit der Erfahrung, als des
Inbegriffes aller Erkenntnis, darin uns Objekte gegeben werden mögen,
in sich enthalten, so scheint es uns doch nicht genug, sich bloß
dasjenige vortragen zu lassen, was wahr ist, sondern, was man zu
wissen begehrt. Wenn wir also durch diese kritische Untersuchung
nichts Mehreres lernen, als was wir im bloß empirischen Gebrauche des
Verstandes, auch ohne so subtile Nachforschung, von selbst wohl würden
ausgeübt haben, so scheint es, sei der Vorteil, den man aus ihr zieht,
den Aufwand und die Zurüstung nicht wert. Nun kann man zwar hierauf
antworten: daß kein Vorwitz der Erweiterung unserer Erkenntnis
nachteiliger sei, als der, so den Nutzen jederzeit zum voraus wissen
will, ehe man sich auf Nachforschungen einläßt, und ehe man noch sich
den mindesten Begriff von diesem Nutzen machen könnte, wenn derselbe
auch vor Augen gestellt würde. Allein es gibt doch einen Vorteil,
der auch dem schwierigsten und unlustigsten Lehrlinge solcher
transzendentalen Nachforschung begreiflich, und zugleich angelegen
gemacht werden kann, nämlich dieser: daß der bloß mit seinem
empirischen Gebrauche beschäftigte Verstand, der über die Quellen
seiner eigenen Erkenntnis nicht nachsinnt, zwar sehr gut fortkommen,
eines aber gar nicht leisten könne, nämlich, sich selbst die Grenzen
seines Gebrauchs zu bestimmen, und zu wissen, was innerhalb oder
außerhalb seiner ganzen Sphäre liegen mag; denn dazu werden eben die
tiefen Untersuchungen erfordert, die wir angestellt haben. Kann er
aber nicht unterscheiden, ob gewisse Fragen in seinem Horizonte
liegen, oder nicht, so ist er niemals seiner Ansprüche und seines
Besitzes sicher, sondern darf sich nur auf vielfältige beschämende
Zurechtweisungen Rechnung machen, wenn er die Grenzen seines Gebiets
(wie es unvermeidlich ist) unaufhörlich überschreitet, und sich in
Wahn und Blendwerke verirrt."
